Date,종가,수익률,거래량,is_anomaly
2019-06-14,23592,-0.0002118913421197,5762835,0
2019-06-17,23607,0.0006358087487283,3270369,0
2019-06-18,23721,0.0048290761214893,4571797,0
2019-06-19,24020,0.0126048648876522,4937626,0
2019-06-20,24103,0.0034554537885096,6526612,0
2019-06-21,24039,-0.0026552711280753,5135321,0
2019-06-24,24076,0.0015391655226923,4594824,0
2019-06-25,24042,-0.0014121947167303,7215418,0
2019-06-26,24067,0.0010398469345311,10233256,0
2019-06-27,24361,0.0122158972867412,8880735,0
2019-06-28,24299,-0.0025450515167686,6050329,0
2019-07-01,24304,0.0002057697847648,6100956,0
2019-07-02,24166,-0.005678077682686,6820173,0
2019-07-03,23858,-0.0127451791773566,5302331,0
2019-07-04,24058,0.0083829323497359,6048187,0
2019-07-05,24025,-0.0013716850943552,5073189,0
2019-07-08,23520,-0.0210197710718001,5834008,0
2019-07-09,23472,-0.0020408163265306,6139304,0
2019-07-10,23563,0.0038769597818677,4633927,0
2019-07-11,23848,0.0120952340533888,4741538,0
2019-07-12,23899,0.0021385441127137,3235305,0
2019-07-15,23886,-0.0005439558140507,2173534,0
2019-07-16,23991,0.0043958804320523,4742467,0
2019-07-17,23779,-0.0088366470759868,4527215,0
2019-07-18,23725,-0.0022709113082972,5063155,0
2019-07-19,24058,0.0140358271865121,5042868,0
2019-07-22,24051,-0.0002909635048632,4430433,0
2019-07-23,24166,0.0047815059664879,4288651,0
2019-07-24,23935,-0.0095588843830174,4477955,0
2019-07-25,23891,-0.0018383120952579,5204629,0
2019-07-26,23840,-0.0021346950734586,2266330,0
2019-07-29,23520,-0.0134228187919462,3635619,0
2019-07-30,23584,0.0027210884353741,6911632,0
2019-07-31,23347,-0.0100491858887381,4980297,0
2019-08-01,23319,-0.0011992975542896,4301991,0
2019-08-02,23058,-0.0111925897336935,7591039,0
2019-08-05,22557,-0.0217278168097839,17281539,0
2019-08-06,22241,-0.0140089550915458,13267701,0
2019-08-07,22108,-0.0059799469448316,7515029,0
2019-08-08,22202,0.004251854532296,6577149,0
2019-08-09,22359,0.0070714350058553,5721746,0
2019-08-12,22392,0.0014759157386288,5853544,0
2019-08-13,22163,-0.0102268667381207,5701606,0
2019-08-14,22321,0.0071289987817533,8904705,0
